Outputting model checkpoint to 'mnist.bin5'
         6838249 function calls (6837807 primitive calls) in 7.718 seconds

   Ordered by: cumulative time, internal time, function name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    7.718    7.718 mnist_model.py:81(train_mnist)
        1    0.000    0.000    7.601    7.601 neural_net.py:426(train)
       25    0.000    0.000    7.600    0.304 neural_net.py:378(train_batch)
       26    0.000    0.000    5.975    0.230 threading.py:288(wait)
       79    5.975    0.076    5.975    0.076 {method 'acquire' of '_thread.lock' objects}
       25    0.000    0.000    5.975    0.239 _base.py:428(result)
       75    0.740    0.010    1.619    0.022 neural_net.py:181(update)
  4203000    0.589    0.000    0.589    0.000 fast_math.py:72(get)
  2185560    0.301    0.000    0.301    0.000 fast_math.py:65(set)
        1    0.000    0.000    0.089    0.089 neural_net.py:314(initialize)
        3    0.022    0.007    0.089    0.030 neural_net.py:99(initialize)
    84060    0.040    0.000    0.055    0.000 random.py:544(normalvariate)
        2    0.000    0.000    0.019    0.010 util.py:447(spawnv_passfds)
        2    0.019    0.010    0.019    0.010 {built-in method _posixsubprocess.fork_exec}
        1    0.000    0.000    0.017    0.017 process.py:616(__init__)
        1    0.000    0.000    0.016    0.016 process.py:163(__init__)
        1    0.000    0.000    0.016    0.016 queues.py:37(__init__)
        4    0.000    0.000    0.016    0.004 context.py:65(Lock)
        5    0.000    0.000    0.016    0.003 synchronize.py:50(__init__)
        4    0.000    0.000    0.016    0.004 synchronize.py:161(__init__)
        5    0.000    0.000    0.015    0.003 resource_tracker.py:153(register)
        5    0.000    0.000    0.015    0.003 resource_tracker.py:161(_send)
        6    0.000    0.000    0.015    0.003 resource_tracker.py:78(ensure_running)
     47/4    0.000    0.000    0.012    0.003 <frozen importlib._bootstrap>:1165(_find_and_load)
     47/4    0.000    0.000    0.012    0.003 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     42/4    0.000    0.000    0.012    0.003 <frozen importlib._bootstrap>:666(_load_unlocked)
     27/4    0.000    0.000    0.012    0.003 <frozen importlib._bootstrap_external>:934(exec_module)
    109/8    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     28/4    0.000    0.000    0.012    0.003 {built-in method builtins.exec}
        2    0.000    0.000    0.012    0.006 process.py:1(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:40(__getattr__)
   231032    0.008    0.000    0.008    0.000 {method 'random' of '_random.Random' objects}
    25/16    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      9/4    0.000    0.000    0.007    0.002 {built-in method builtins.__import__}
   115496    0.007    0.000    0.007    0.000 {built-in method math.log}
       25    0.000    0.000    0.006    0.000 process.py:767(submit)
        1    0.000    0.000    0.005    0.005 __init__.py:1(<module>)
       25    0.000    0.000    0.005    0.000 process.py:733(_adjust_process_count)
        1    0.000    0.000    0.005    0.005 process.py:756(_spawn_process)
        1    0.000    0.000    0.005    0.005 process.py:110(start)
        1    0.000    0.000    0.005    0.005 context.py:285(_Popen)
        1    0.000    0.000    0.005    0.005 context.py:1(<module>)
        1    0.000    0.000    0.005    0.005 popen_spawn_posix.py:30(__init__)
        1    0.000    0.000    0.005    0.005 popen_fork.py:15(__init__)
        1    0.000    0.000    0.005    0.005 popen_spawn_posix.py:38(_launch)
        1    0.000    0.000    0.004    0.004 connection.py:1(<module>)
        1    0.000    0.000    0.004    0.004 reduction.py:1(<module>)
       42    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
       13    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1231(create_module)
       13    0.003    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
       27    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
       45    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
       27    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       27    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 shutil.py:1(<module>)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
       93    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        7    0.000    0.000    0.001    0.000 enum.py:890(_convert_)
      101    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        7    0.000    0.000    0.001    0.000 enum.py:1657(convert_class)
       25    0.000    0.000    0.001    0.000 process.py:723(_start_executor_manager_thread)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 resource_tracker.py:1(<module>)
       27    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:938(start)
        7    0.000    0.000    0.000    0.000 enum.py:907(<listcomp>)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:604(wait)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 bz2.py:1(<module>)
      108    0.000    0.000    0.000    0.000 __init__.py:272(_compile)
      441    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      165    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 locale.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _compiler.py:738(compile)
