Outputting model checkpoint to 'mnist.bin5'
         6820612 function calls (6820459 primitive calls) in 7.598 seconds

   Ordered by: cumulative time, internal time, function name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    7.598    7.598 mnist_model.py:81(train_mnist)
        1    0.000    0.000    7.508    7.508 neural_net.py:426(train)
       25    0.000    0.000    7.507    0.300 neural_net.py:378(train_batch)
       27    0.000    0.000    5.937    0.220 threading.py:288(wait)
       58    5.936    0.102    5.936    0.102 {method 'acquire' of '_thread.lock' objects}
       25    0.000    0.000    5.930    0.237 _base.py:428(result)
       75    0.750    0.010    1.570    0.021 neural_net.py:181(update)
  4203000    0.530    0.000    0.530    0.000 fast_math.py:72(get)
  2185560    0.301    0.000    0.301    0.000 fast_math.py:65(set)
        1    0.000    0.000    0.089    0.089 neural_net.py:314(initialize)
        3    0.022    0.007    0.089    0.030 neural_net.py:99(initialize)
    84060    0.040    0.000    0.055    0.000 random.py:544(normalvariate)
   230174    0.008    0.000    0.008    0.000 {method 'random' of '_random.Random' objects}
   115087    0.007    0.000    0.007    0.000 {built-in method math.log}
       25    0.000    0.000    0.007    0.000 thread.py:161(submit)
       25    0.000    0.000    0.006    0.000 thread.py:180(_adjust_thread_count)
        1    0.000    0.000    0.006    0.006 threading.py:938(start)
        1    0.000    0.000    0.006    0.006 threading.py:604(wait)
        1    0.000    0.000    0.001    0.001 __init__.py:40(__getattr__)
      5/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1165(_find_and_load)
      5/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      5/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:666(_load_unlocked)
      3/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:934(exec_module)
     12/2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      3/1    0.000    0.000    0.001    0.001 {built-in method builtins.exec}
        1    0.000    0.000    0.001    0.001 thread.py:1(<module>)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1231(create_module)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       27    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
    52/26    0.000    0.000    0.000    0.000 neural_net.py:407(iter_grouped)
       25    0.000    0.000    0.000    0.000 _base.py:328(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 random.py:376(shuffle)
